LOCATION,Value
AUS,20.939368542138396
CAN,18.3583398733671
JPN,6.61749453885892
KOR,10.3247290881858
MEX,8.59000448212496
NZL,12.975091018904099
TUR,8.343658851530419
USA,25.823285646545703
DZA,3.8935500215584398
ARG,41.2442750034823
BGD,0.8667868855975559
BRA,26.4675427489065
CHL,18.1045851178486
CHN,4.06703788933825
COL,11.6929154451807
EGY,9.32074354197894
ETH,2.44393876107765
GHA,0.845007180128567
HTI,3.42916838728858
IND,0.5263040814765829
IDN,1.8693828637677
IRN,3.3492048000827097
ISR,20.0091633663374
KAZ,17.222464739652697
MYS,5.44576728012514
MOZ,0.830741577272773
NGA,1.64093632731273
PAK,6.339437705572459
PRY,25.5217587544749
PER,4.7793855293564205
PHL,2.9461594747309303
RUS,10.0631807814134
SAU,3.8672161387234105
ZAF,10.977622225042698
SDN,0.006511600498
TZA,4.05014822870531
THA,1.78047988560875
UKR,5.804428820037991
URY,43.191194110134
VNM,10.0873532579416
ZMB,9.043238050577811
WLD,6.5099420872401605
SSA,3.02759086750165
OECD,14.5374852528611
BRICS,4.45587809082503
EU28,10.985761378475699
